# fields=10 strings=0,1,5,6,7,8
"%s agrees with %s.","%s agrees with %s.",0,0,0,"%s赞同%s的观点。","%s согласен с %s.","%s está de acuerdo con %s.","%s concorda com %s.",8323198
"s agrees with %s.","%s agrees with you.",0,0,0,"%s赞同你的观点。","%s согласен с вами.","%s está de acuerdo contigo.","%s concorda com você.",8323198
" agrees with %s.","You agree with %s.",0,0,0,"你赞同%s的观点。","Вы согласны с %s.","Estás de acuerdo con %s.","Você concorda com %s.",8323198
"agrees with %s.","%s agrees.",0,0,0,"%s表示赞同。","%s согласен.","%s está de acuerdo.","%s concorda.",8323198
"grees with %s.","You agree.",0,0,0,"你表示赞同。","Вы согласны.","Estás de acuerdo.","Você concorda.",8323198
"rees with %s.","%s is amazed by %s!",0,0,0,"%s让%s感到很惊奇！","%s восхищен %s!","%s está asombrado por %s.","%s está maravilhado com %s.",8323198
"ees with %s.","%s is amazed by you!",0,0,0,"你让%s感到很惊奇！","%s восхищен вами!","%s está asombrado por ti.","%s está maravilhado com você.",8323198
"es with %s.","You are amazed by %s!",0,0,0,"%s让你感到很惊奇！","Вы восхитились %s!","¡Estás asombrado por %s!","Você está maravilhado com %s.",8323198
"s with %s.","%s is amazed!",0,0,0,"%s感到很惊奇！","%s в восторге!","%s está asombrado.","%s está maravilhado.",8323198
" with %s.","You are amazed!",0,0,0,"你感到很惊奇！","Вы поражены!","¡Estás asombrado!","Você está maravilhado!",8323198
"with %s.","%s raises his fist in anger at %s.",0,0,0,"%s向%s愤怒地挥起拳头。","%s в гневе поднимает кулак на %s.","%s levanta el puño con ira a %s.","%s levanta o punho com raiva para %s.",8323198
"ith %s.","%s raises his fist in anger at you.",0,0,0,"%s向你愤怒地挥起拳头。","%s в гневе поднимает на вас кулак.","%s levanta el puño con ira a ti.","%s levanta o punho com raiva para você.",8323198
"th %s.","You raise your fist in anger at %s.",0,0,0,"你向%s愤怒地挥起拳头。","Вы в гневе поднимаете кулак на %s.","Levantas el puño con ira a %s.","Você levanta o punho com raiva para %s.",8323198
"h %s.","%s raises his fist in anger.",0,0,0,"%s愤怒地挥起拳头。","%s в гневе поднимает кулак.","%s levanta el puño con ira.","%s levanta o punho com raiva.",8323198
" %s.","You raise your fist in anger.",0,0,0,"你愤怒地挥起拳头。","Вы в гневе поднимаете кулак.","Levantas el puño con ira.","Você levanta o punho com raiva.",8323198
"%s.","%s raises her fist in anger at %s.",0,0,0,"%s对%s愤怒地挥起拳头。","%s в гневе поднимает кулак на %s.","%s levanta el puño con ira a %s.","%s levanta o punho com raiva para %s.",8323198
